concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
42599784,4059699,Is a,2018-10-01,2099-12-31,
38003113,38003113,Maps to,1970-01-01,2099-12-31,
42739675,42739675,Maps to,2014-10-10,2099-12-31,
42894587,42894587,Maps to,2016-05-18,2099-12-31,
2787195,4212973,Is a,1970-01-01,2099-12-31,
42894684,4184832,Is a,1970-01-01,2099-12-31,
2725920,2725920,Mapped from,2014-04-22,2099-12-31,
38004279,38004279,Mapped from,1970-01-01,2099-12-31,
4079617,4079617,Maps to,1970-01-01,2099-12-31,
4081446,4081446,Maps to,1970-01-01,2099-12-31,
4203130,2514411,SNOMED - CPT4 eq,2014-04-01,2099-12-31,
35614240,35614210,Is a,2018-07-31,2099-12-31,
42527949,42527949,Maps to,2017-02-21,2099-12-31,
4258412,4258412,Mapped from,2009-01-31,2099-12-31,
2108583,2108583,Maps to,2008-04-01,2099-12-31,
42894632,42894632,Maps to,2016-05-18,2099-12-31,
2313882,4211674,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2313913,4151632,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
32037,32037,Maps to,1970-01-01,2099-12-31,
4184832,42894617,Subsumes,1970-01-01,2099-12-31,
4179324,4179324,Mapped from,1970-01-01,2099-12-31,
40482735,36713465,Subsumes,2017-01-31,2099-12-31,
4230911,2786047,Subsumes,1970-01-01,2099-12-31,
4006788,43527997,SNOMED - CPT4 eq,2014-04-01,2099-12-31,
4234778,4334807,Is a,2011-07-31,2099-12-31,
35207685,4270024,Maps to,1970-01-01,2099-12-31,
3661642,3661642,Mapped from,2020-07-31,2099-12-31,
2017040868,4334807,Maps to,1970-01-01,2099-12-31,
2016054851,2313882,Maps to,1970-01-01,2099-12-31,
2016145687,2313869,Maps to,1970-01-01,2099-12-31,
2016844107,4208906,Maps to,1970-01-01,2099-12-31,
2016522005,4230911,Maps to,1970-01-01,2099-12-31,
2016790498,2313882,Maps to,1970-01-01,2099-12-31,
4148497,4231410,Subsumes,2011-07-31,2099-12-31,
4017921,2313881,SNOMED - CPT4 eq,2012-03-09,2099-12-31,
4334807,2785853,Subsumes,1970-01-01,2099-12-31,
2725943,4184832,Is a,1970-01-01,2099-12-31,
2785851,2785851,Mapped from,2014-04-22,2099-12-31,
2786045,2786045,Maps to,2014-04-22,2099-12-31,
38003105,38003105,Maps to,1970-01-01,2099-12-31,
2721563,2721563,Maps to,1970-01-01,2099-12-31,
42539210,42539210,Mapped from,2018-01-31,2099-12-31,
42894651,42894651,Mapped from,2016-05-18,2099-12-31,
42894691,42894691,Mapped from,2016-05-18,2099-12-31,
42894648,42894648,Mapped from,2016-05-18,2099-12-31,
42894672,42894672,Maps to,2016-05-18,2099-12-31,
2313878,4019824,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
2514558,2514558,Maps to,2009-04-06,2099-12-31,
2786053,2786053,Mapped from,2014-04-22,2099-12-31,
2786055,4230911,Is a,1970-01-01,2099-12-31,
4148497,4148497,Maps to,1970-01-01,2099-12-31,
2785851,4230911,Is a,1970-01-01,2099-12-31,
42894660,4184832,Is a,1970-01-01,2099-12-31,
4184832,42894622,Subsumes,1970-01-01,2099-12-31,
2001543,4138036,Maps to,2018-06-25,2099-12-31,
37201936,37201938,Subsumes,2017-04-28,2099-12-31,
4020653,4006788,Is a,2011-07-31,2099-12-31,
8966,8966,Mapped from,1970-01-01,2099-12-31,
2786410,2786410,Mapped from,2014-04-22,2099-12-31,
2016809866,2313869,Maps to,1970-01-01,2099-12-31,
2016098413,4019824,Maps to,1970-01-01,2099-12-31,
2016072420,4019824,Maps to,1970-01-01,2099-12-31,
2016096565,4270024,Maps to,1970-01-01,2099-12-31,
2016318642,2514404,Maps to,1970-01-01,2099-12-31,
2016928256,4270024,Maps to,1970-01-01,2099-12-31,
2016573984,4230911,Maps to,1970-01-01,2099-12-31,
2016150597,2313870,Maps to,1970-01-01,2099-12-31,
2016883852,4230911,Maps to,1970-01-01,2099-12-31,
2016506474,4208906,Maps to,1970-01-01,2099-12-31,
2016117907,2313869,Maps to,1970-01-01,2099-12-31,
2017017187,4335824,Maps to,1970-01-01,2099-12-31,
4335825,2313867,SNOMED cat - CPT4,1980-01-01,2099-12-31,
4328103,4006788,Is a,2011-07-31,2099-12-31,
37201937,37201936,Is a,2017-04-28,2099-12-31,
38004288,38004290,Subsumes,2019-02-01,2099-12-31,
42894630,42894630,Mapped from,2016-05-18,2099-12-31,
581477,9202,Is a,1970-01-01,2099-12-31,
4184832,42894702,Subsumes,1970-01-01,2099-12-31,
37311810,2786048,Subsumes,1970-01-01,2099-12-31,
4184832,42894480,Subsumes,1970-01-01,2099-12-31,
3661645,3661645,Mapped from,2020-07-31,2099-12-31,
42894689,4184832,Is a,1970-01-01,2099-12-31,
4211674,2313882,SNOMED cat - CPT4,1980-01-01,2099-12-31,
9202,38003620,Subsumes,2019-02-01,2099-12-31,
2725920,2725920,Maps to,2014-04-22,2099-12-31,
2786061,4098215,Is a,1970-01-01,2099-12-31,
4019824,2313875,SNOMED - CPT4 eq,2014-04-01,2099-12-31,
38003105,38003105,Mapped from,1970-01-01,2099-12-31,
42599784,4230911,Has interprets,2018-10-01,2099-12-31,
4184832,42894652,Subsumes,1970-01-01,2099-12-31,
2725926,2725926,Mapped from,2014-04-22,2099-12-31,
42894712,42894712,Mapped from,2016-05-18,2099-12-31,
8717,38004515,Subsumes,2019-02-01,2099-12-31,
2313800,2313800,Maps to,1970-01-01,2099-12-31,
42894644,4184832,Is a,1970-01-01,2099-12-31,
3661699,3661699,Maps to,2020-07-31,2099-12-31,
4184832,42894672,Subsumes,1970-01-01,2099-12-31,
4171199,4230911,Is a,2011-07-31,2099-12-31,
4184832,2725918,Subsumes,1970-01-01,2099-12-31,
42894602,42894602,Mapped from,2016-05-18,2099-12-31,
2016884332,2313870,Maps to,1970-01-01,2099-12-31,
2016900396,2313880,Maps to,1970-01-01,2099-12-31,
2016302587,4335825,Maps to,1970-01-01,2099-12-31,
2016558624,4296653,Maps to,1970-01-01,2099-12-31,
2016641647,4019824,Maps to,1970-01-01,2099-12-31,
2016975701,2313878,Maps to,1970-01-01,2099-12-31,
2016965329,43527998,Maps to,1970-01-01,2099-12-31,
2016785486,4334807,Maps to,1970-01-01,2099-12-31,
2016097263,2313880,Maps to,1970-01-01,2099-12-31,
2016222676,2313869,Maps to,1970-01-01,2099-12-31,
2016804525,2313872,Maps to,1970-01-01,2099-12-31,
2016977434,4335824,Maps to,1970-01-01,2099-12-31,
2016600213,4335824,Maps to,1970-01-01,2099-12-31,
2016989691,4296653,Maps to,1970-01-01,2099-12-31,
2016229117,2211766,Maps to,1970-01-01,2099-12-31,
2035540782,3021690,Maps to,1970-01-01,2099-12-31,
35614223,35614223,Maps to,2018-07-31,2099-12-31,
2313874,4019824,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
2514411,4203130,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
45557536,4296653,Maps to,1970-01-01,2099-12-31,
1569127,45576865,Subsumes,2016-03-25,2099-12-31,
45758408,45768093,Is a,2015-01-31,2099-12-31,
4283892,4161456,Occurs before,2011-07-31,2099-12-31,
37311810,2786053,Subsumes,1970-01-01,2099-12-31,
4230911,4292071,Asso proc of,2011-07-31,2099-12-31,
37311809,37311809,Mapped from,2020-03-09,2099-12-31,
2725942,2725942,Mapped from,2014-04-22,2099-12-31,
42894624,42894624,Maps to,2016-05-18,2099-12-31,
4196155,4196155,Maps to,2009-01-31,2099-12-31,
44822689,40483126,Maps to,2013-11-27,2099-12-31,
2725954,2725954,Maps to,2014-04-22,2099-12-31,
45760475,45760475,Mapped from,2015-01-31,2099-12-31,
2110334,8715,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
3030043,3030043,Mapped from,1970-01-01,2099-12-31,
8716,8716,Maps to,1970-01-01,2099-12-31,
4230911,4230911,Mapped from,1970-01-01,2099-12-31,
2107213,4184832,CPT4 - SNOMED eq,2014-04-01,2099-12-31,
4149943,4148981,Is a,2011-07-31,2099-12-31,
43021737,2616264,Subsumes,2018-11-27,2099-12-31,
4296653,45576865,Mapped from,1970-01-01,2099-12-31,
3661530,4131681,Is a,2020-07-31,2099-12-31,
38004288,38004288,Mapped from,1970-01-01,2099-12-31,
37111313,37108804,Value mapped from,2022-08-01,2099-12-31,
2016626564,2313869,Maps to,1970-01-01,2099-12-31,
2016575279,4230911,Maps to,1970-01-01,2099-12-31,
2016780786,4230911,Maps to,1970-01-01,2099-12-31,
2016975589,4019824,Maps to,1970-01-01,2099-12-31,
2016404684,4283892,Maps to,1970-01-01,2099-12-31,
2016241138,4283892,Maps to,1970-01-01,2099-12-31,
4098215,2785854,Subsumes,1970-01-01,2099-12-31,
35614209,36714929,Is a,2018-07-31,2099-12-31,
4253187,4059699,Is a,2011-07-31,2099-12-31,
4148981,4305366,Subsumes,2011-07-31,2099-12-31,
44833089,44835459,Is a,2014-10-01,2099-12-31,
38004275,38004275,Mapped from,1970-01-01,2099-12-31,
2313801,4283892,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
38004281,38004279,Is a,2019-02-01,2099-12-31,
35614254,35614225,Is a,2018-07-31,2099-12-31,
4006788,44511133,Subsumes,2018-08-29,2099-12-31,
36713074,36713074,Maps to,2017-01-31,2099-12-31,
38004311,38004311,Mapped from,1970-01-01,2099-12-31,
